RA, Dec, B-R
344.20397, -8.97081, 0.41
344.00746, 12.76645, 1.056
236.37072, 26.60305, 1.11
148.33428, 0.69774, 1.114
123.4885, 52.64846, 0.682
329.53163, 1.00948, -8.528
40.88555, 31.78654, 0.822
339.88373, 8.61286, 1.126
136.30504, -0.49663, 0.952
52.53972, -5.52164, 2.049
192.41739, 15.17642, 0.211
179.85166, -0.41097, 0.693
345.72357, 26.0148, 0.209
308.84921, -6.24577, 0.046
183.83397, -0.39805, 0.799
221.23298, 1.955, 1.396
0.81134, 16.14485, 0.712
156.62179, 20.23355, 1.593
237.17127, 21.8691, 0.183
320.0733, -1.68439, -4.455
130.81658, 13.08663, 0.909
185.63901, 1.02034, 1.066
151.12292, 14.7692, -0.059
223.96831, 24.71975, 0.916
0.81134, 16.14485, 0.712
145.38476, 11.4134, 0.067
339.88365, 8.61287, 1.126
48.80553, -7.27073, 1.27
169.95467, 0.74316, 1.599
131.09124, 9.53731, 0.091
135.43166, 60.15736, 0.523
242.65403, 29.5132, 0.246
312.46762, -7.02175, -0.257
13.03674, 14.50343, -0.469
343.83377, 28.34649, 0.303
122.547, 24.89303, 0.801
166.66004, -0.75631, 1.462
181.93035, -1.6159, 1.105
185.25939, 3.72215, 1.436
211.62915, 6.02762, 1.572
349.660081021964, -10.4081048415646, 0.465
180.96362386, 1.13035586, 1.05
29.0510629454738, -9.65319357264779, 1.504
185.11525606, 1.46974407, 0.573
72.19018, -5.1256, 0.764
72.68466, -5.4187, 0.672
232.33236, 3.60127, 0.963
176.11915, 10.78379, 1.228
185.82175, 11.36756, 0.888
242.24297, 36.61093, 1.467
133.15844, -2.6032, 1.144
42.56064, 0.09441, 3.814
177.55423, 6.99794, 0.552
10.5027, -9.83444, 1.054
180.93601, 1.69506, 1.51
164.69552, 5.51943, 0.601
177.35066, -0.87112, 1.2
47.99943, -1.16165, 1.636
213.75726, -0.85981, 0.992
213.75726, -0.86013, 0.992
161.34474, 1.12439, 0.884
155.84144, 9.9375, 0.485
231.6263, 41.28954, 0.887
210.0604, 8.96705, 0.688
245.69585, 37.55453, 0.377
132.72049, 1.25008, 3.473
42.79212, -6.70627, 0.917
150.39763, -2.99443, 1.376
118.76455, 18.95644, 0.938
164.79478, 1.60608, -0.501
213.56154, 35.42366, 1.856
122.2637, 16.67436, -0.466
228.00912, 1.69759, -0.637
158.73292, 0.3578, 1.31
247.6634, 41.2107, 1.187
27.89578, -8.58797, 1.129
163.28179, 25.65953, 0.082
231.62353, 41.29318, 0.887
26.54379, -9.78964, 1.221
218.6945, 3.34158, 0.844
129.15085, 25.13699, 0.486
347.32423, 0.06444, 1.047
320.0733, -1.68439, -4.455
136.00379, -0.08924, 1.001
167.23196, 26.61043, 1.159
225.10174, 3.50194, 3.869
186.06313, 8.53884, 0.885
346.38096, -9.0114, 0.883
21.41385, -8.80303, 1.17
159.84524, 0.56549, 1.822
177.56837, -0.39629, 1.629
3.98086, 16.00371, 0.421
165.62834, 0.87692, 3.749
131.09122, 9.53728, 0.091
131.07344, 9.54062, 0.091
226.92697, 6.88584, 0.462
159.84524, 0.5655, 1.822
17.15424, 1.64128, -5.041
339.35224, 23.79832, 0.828
359.21695, -8.87464, 1.501
189.86747, 4.26786, 0.593
182.6368, 58.30414, 0.779
217.14954, 25.70881, 1.14
341.81439, -7.95649, 1.59
326.16441, -6.68954, 0.874
328.78312, -9.2234, 1.223
334.21344, -9.01117, 0.469
184.92626, 5.53835, 1.953
159.52568, 0.20687, 1.039
346.85501, 0.42315, 0.42
123.26537, 24.56699, -0.026
132.72041, 1.25011, 3.473
133.84928, 0.85436, 0.736
238.57983, 0.54305, 1.1
213.56154, 35.42366, 1.856
210.64794, 9.11986, 0.107
31.38422, 14.73313, 1.218
42.26505, -8.207, 1.412
53.07446, -27.8498, 1.271
9.00131, -9.1946, 1.133
186.14615, 1.89235, 1.238
312.46759, -7.02181, -0.257
163.41055, 26.90987, 1.71
213.56154, 35.42366, 1.856
